content_item_id,warehouse,costco_item_number,costco_qty,costco_unit,match_type,is_coverage_gap,costco_note
raw_shrimp,san_francisco,,,lb,proxy / manual-review,true,No raw frozen shrimp SKU in SF crawl; only prepared (Kirkland Garlic Butter Shrimp 2 lb $15.99 = $8.00/lb, Shrimp Cocktail $10.99/lb). Exact raw-shrimp comparison is a coverage gap.
bell_peppers,san_francisco,,,each,proxy / manual-review,true,No fresh bell peppers in SF crawl (only pepperoni/pepper-cheese products). Costco sells 6-ct bell peppers (~$6-7) but not captured this crawl.
nestle_drumstick,san_francisco,,,cone,proxy / manual-review,true,No Nestle Drumstick ice cream cones in SF crawl (only FRESH ORGANIC CHICKEN DRUMSTICK #22501 $1.99/lb, a different product). Costco Drumstick variety pack (~$0.75/cone) not captured.
doritos_friday,san_francisco,933402,30,oz,same product different size,false,DORITOS NACHO CHEESE 30 OZ (canonical doritos_nacho_cheese). Same product, large 30 oz bag vs small ad bag.
sweet_corn,san_francisco,,,each,proxy / manual-review,true,No fresh sweet corn in SF crawl. Seasonal produce coverage gap.
hass_avocados,san_francisco,647465,6,each,exact same product,false,AVOCADOS HASS VARIETY 6 COUNT. Same product; Costco sells only the 6-count bag.
berry_mix_6oz,san_francisco,791185,12,oz,same category comparable,false,"ORGANIC BLACKBERRIES 12 OZ (organic; ad is conventional 6 oz). Directional per-oz. Raspberries #56366 12oz $6.99, Blueberries #57554 18oz $5.99 also available."
chobani_yogurt,san_francisco,1005641,20,cup,same product different size,false,"CHOBANI GREEK YOGURT VARIETY 20 COUNT 5.3 OZ. Matches the Safeway single-serve 3/$4 cups (same 5.3 oz cup, sold as a 20-ct pack). Costco is cheaper per cup, so this is a smaller-buy/variety note, not a Costco beat. Protein 16-ct #1920008 relates to the Vons 4-ct protein deal."
beef_chuck_short_ribs,san_francisco,34044,1,lb,same category comparable,false,"CHOICE BEEF CHUCK BONELESS SHORT RIBS VAC PACK $12.29/lb (fairest same-grade comparable; bone-in vs boneless caveat). Prime bone-in #12329 $7.99/lb, #12239 $10.99/lb also exist."
pork_shoulder_ribs,san_francisco,33997,1,lb,exact same product,false,PORK SHOULDER COUNTRY RIBS BONELESS $3.79/lb. Near-exact same product (country-style pork shoulder ribs).
sargento_cheese,san_francisco,1352319,60,stick,same category comparable,false,GALBANI WHOLE MILK STRING CHEESE 60 COUNT (Costco bulk store-brand; no Sargento SKU). Bulk beats the small pack per stick: NOT a Safeway-beats-Costco item.
oreo_family_size,san_francisco,,,oz,proxy / manual-review,true,No regular Oreo SKU in SF crawl (only mini choc-chip / assorted cookies). Costco Oreo (~$3.79 large pack) not captured this crawl.
