week_start,store,content_item_id,display_item,category,match_query,availability_override,ad_price_effective,ad_unit_label,grocery_unit_price,compare_basis,recognizable_brand,seasonal,near_costco_variety,tiktok_hook,absolute_price_strength,needs_manual_verification,graph_update,primary_section,prev_report_status,why_missed,notes
2026-07-08,safeway,raw_shrimp,Raw shrimp (Waterfront Bistro 31-40 ct),seafood,"Large Raw Shrimp 31-40 ct, 2 lb bag, Frozen",,5.00,lb ($5 Friday; 2 lb bag),5.00,lb,true,false,false,strong,strong,true,no,4,omitted (not in report),missing canonical tracker family,"$5/lb Friday doorbuster; full-week versions are $5.99/lb (31-40 ct) and $6.99/lb (16-20 ct). No exact raw-shrimp Costco SKU in SF crawl."
2026-07-08,safeway,bell_peppers,Bell peppers (red/orange/yellow/green),produce,Bell Pepper 5 for $5,,1.00,each (5 for $5),1.00,each,true,true,false,moderate,strong,false,no,4,omitted (not in report),category not prioritized,"Friday-only 5 for $5. Costco 6-ct bell peppers exist (~$1/ea) but not in this SF crawl."
2026-07-08,safeway,nestle_drumstick,Nestle Drumstick ice cream cones,frozen,Drumstick 8-ct,,5.00,8-ct box ($0.63/cone),0.625,cone,true,false,true,strong,strong,true,no,4,omitted (not in report),missing Costco mapping,"Friday-only $5/8-ct. 'Variety win' vs Costco 24-ct variety pack (~$0.75/cone, not in crawl)."
2026-07-08,safeway,doritos_friday,Doritos tortilla chips,snacks,Doritos Tortilla Chips or Ruffles Potato Chips 2 for $5,,2.50,bag (2 for $5),0.2703,oz,true,false,true,strong,moderate,false,yes,4,Do not mention / bad matches,Friday-only penalty,"Friday-only 2 for $5. Costco #933402 30 oz $6.99 = $0.233/oz; roughly tied / Costco a touch cheaper per oz."
2026-07-08,safeway,sweet_corn,Sweet corn,produce,Sweet Corn 10 for $5,,0.50,ear (10 for $5),0.50,each,true,true,false,strong,strong,false,yes,4,Do not mention / bad matches,Friday-only penalty,"Friday-only 10 for $5. No fresh corn in SF Costco crawl."
2026-07-08,safeway,hass_avocados,Hass avocados,produce,Hass Avocado 99,,0.99,each,0.99,each,true,false,false,strong,strong,false,yes,1,Top script-safe deals,not missed - already lead-worthy,"$0.99 each beats Costco 6-ct bag ($7.99 = $1.33/ea). ~8 avocados at Safeway for the price of Costco's 6-pack."
2026-07-08,safeway,berry_mix_6oz,Berry deal (blackberries / raspberries / blueberries),produce,Raspberries or Blackberries 6 oz,,2.99,6 oz (mix & match),0.4983,oz,true,true,false,strong,strong,false,yes,2,Do not mention / bad matches,missing Costco mapping,"$2.99 6 oz mix & match. Blackberries ~33% under Costco/oz (organic 12 oz $8.99); raspberries ~15%; blueberries pint ~20%. Separate $0.99/6 oz blueberry deal is an even bigger win."
2026-07-08,safeway,chobani_yogurt,Chobani Greek yogurt (3/$4 single-serve),dairy,"Chobani Greek Yogurt, Oikos Triple Zero",,1.33,cup (3 for $4),1.33,cup,true,false,true,moderate,moderate,false,no,2,Do not mention / bad matches,broad promo block,"Safeway deal is the single-serve 3/$4 (4.5-5.3 oz) = $1.33/cup. Costco 20-ct variety ($17.89 = $0.89/cup) is CHEAPER per cup — Safeway only wins for a small no-bulk-lock-in buy. NOTE: the '4-ct 20g protein' deal the user remembered is a VONS page-2 tile, not Safeway."
2026-07-08,safeway,beef_chuck_short_ribs,Beef chuck short ribs,meat,Beef Chuck Short Ribs 7.99,,7.99,lb,7.99,lb,true,false,false,moderate,moderate,true,no,2,omitted (not in report),missing canonical tracker family,"$7.99/lb Choice. vs Costco Choice boneless $12.29/lb ~35% cheaper (bone-in vs boneless caveat); vs Prime bone-in $7.99/lb it ties on price but grade differs."
2026-07-08,safeway,pork_shoulder_ribs,Pork shoulder country-style ribs,meat,Pork Shoulder Country Style Ribs,,2.99,lb,2.99,lb,true,false,false,moderate,strong,false,no,1,Do not mention / bad matches,missing canonical tracker family,"$2.99/lb vs Costco #33997 boneless country ribs $3.79/lb = ~21% cheaper. Near-exact same product."
2026-07-08,safeway,sargento_cheese,Sargento string/stick cheese,dairy,Sargento String or Stick Cheese,,4.99,pack,0.4158,stick,true,false,true,moderate,strong,false,no,3,omitted (not in report),category not prioritized,"$4.99 pack (~1/3 of normal retail). Costco Galbani 60-ct bulk is cheaper per stick ($0.19) — good absolute deal / no bulk lock-in, NOT a Costco beat."
2026-07-08,safeway,oreo_family_size,Oreo family size,snacks,Nabisco Family Size Oreo Cookies,,3.49,family-size pack,0.2375,oz,true,false,true,strong,moderate,false,yes,3,omitted (Oreo family-size not in fresh report),missing Costco mapping,"$3.49 family size (10.68-18.71 oz). Costco regular Oreo (~$3.79) not in SF crawl; gap <10% so prioritize smaller-buy + variety. Also a $3.99 'Oreo or Chips Ahoy' digital coupon on p1."
